rejection_rate	IF_2014	JCR_title
0.94	35.289	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
0.94	55.873	NEW ENGLAND JOURNAL OF MEDICINE
0.93	17.445	BMJ-British Medical Journal
0.926	36.503	NATURE MATERIALS
0.92	41.456	NATURE
0.92	16.095	NATURE NEUROSCIENCE
0.92	33.611	SCIENCE
0.91	4.799	JOURNAL OF APPLIED PSYCHOLOGY
0.89	5.031	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
0.88	3.829	INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH
0.86	2.568	Drug Metabolism and Pharmacokinetics
0.84	4.847	ELECTROCHEMISTRY COMMUNICATIONS
0.84	5.153	JOURNAL OF ABNORMAL PSYCHOLOGY
0.84	7.338	PSYCHOLOGICAL METHODS
0.83	5.929	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL
0.83	1.845	MATERIALS CHARACTERIZATION
0.83	2.998	JOURNAL OF ETHNOPHARMACOLOGY
0.83	6.932	CLINICAL PSYCHOLOGY REVIEW
0.82	9.322	eLife
0.81	2.564	RESOURCES CONSERVATION AND RECYCLING
0.8	4.141	DEVELOPMENTAL PSYCHOLOGY
0.79	1.728	CITIES
0.79	2.216	Seminars in Pediatric Surgery
0.79	2.554	TOURISM MANAGEMENT
0.78	2.145	AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY
0.78	11.336	JOURNAL OF HEPATOLOGY
0.78	6.135	OPHTHALMOLOGY
0.77	3.273	Innovative Food Science & Emerging Technologies
0.77	3.512	JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY
0.76	5.078	NEUROBIOLOGY OF DISEASE
0.76	4.465	ACTA MATERIALIA
0.75	2.567	MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING
0.75	3.395	BEHAVIOUR RESEARCH AND THERAPY
0.74	7.705	JOURNAL OF CONTROLLED RELEASE
0.74	2.979	JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS
0.73	4.422	CORROSION SCIENCE
0.73	5.567	INTERNATIONAL JOURNAL OF PLASTICITY
0.73	6.357	NEUROIMAGE
0.72	2.286	AGRICULTURAL WATER MANAGEMENT
0.72	3.871	AMERICAN JOURNAL OF OPHTHALMOLOGY
0.72	4.172	BIOELECTROCHEMISTRY
0.72	3.973	BONE
0.72	6.921	JOURNAL OF CATALYSIS
0.71	2.622	SOIL & TILLAGE RESEARCH
0.71	1.998	SURFACE & COATINGS TECHNOLOGY
0.71	4.333	JOURNAL OF MOLECULAR BIOLOGY
0.71	6.409	BIOSENSORS & BIOELECTRONICS
0.7	1.445	BEHAVIOURAL NEUROLOGY
0.7	2.284	GENOMICS
0.7	3.312	JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY
0.7	1.142	JOURNAL OF COMPARATIVE PATHOLOGY
0.7	7.528	PLoS Genetics
0.7	2.308	Psychological Trauma-Theory Research Practice and Policy
0.69	3.381	INTERNATIONAL JOURNAL OF COAL GEOLOGY
0.69	2.999	JOURNAL OF ALLOYS AND COMPOUNDS
0.69	2.722	JOURNAL OF CATARACT AND REFRACTIVE SURGERY
0.69	1.755	VETERINARY JOURNAL
0.67	6.235	CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE
0.66	3.615	JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL
0.66	2.772	GEODERMA
0.65	3.451	AQUATIC TOXICOLOGY
0.65	4.325	Experimental Diabetes Research
0.65	4.632	HORMONES AND BEHAVIOR
0.65	0.665	International Journal of Distributed Sensor Networks
0.65	1.761	COMPUTERS AND ELECTRONICS IN AGRICULTURE
0.64	2.027	JOURNAL OF CLINICAL DENSITOMETRY
0.64	2.204	JOURNAL OF CONTAMINANT HYDROLOGY
0.64	6.767	METABOLIC ENGINEERING
0.63	3.606	PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS
0.61	1.635	BIOLOGICAL CONTROL
0.6	5.013	NEUROBIOLOGY OF AGING
0.59	3.564	JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS
0.58	27.417	PROGRESS IN MATERIALS SCIENCE
0.57	2.937	PULMONARY PHARMACOLOGY & THERAPEUTICS
0.57	8.235	GONDWANA RESEARCH
0.56	2.116	JOURNAL OF THEORETICAL BIOLOGY
0.56	3.092	NEUROCHEMISTRY INTERNATIONAL
0.55	2.063	International Journal of Environmental Research and Public Health
0.55	4.651	TRENDS IN FOOD SCIENCE & TECHNOLOGY
0.54	3.827	ORGANIC ELECTRONICS
0.54	2.324	VIRUS RESEARCH
0.53	1.928	Pharmacological Reports
0.505	1.479	ADVANCES IN ATMOSPHERIC SCIENCES
0.5	3.206	ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY
0.5	0.884	Multiple Sclerosis and Related Disorders
0.49	4.604	Forensic Science International-Genetics
0.47	2.991	MARINE POLLUTION BULLETIN
0.46	2.011	POLYHEDRON
0.46	3.281	ATMOSPHERIC ENVIRONMENT
0.45	3.191	INTERNATIONAL JOURNAL OF DRUG POLICY
0.45	3.313	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY
0.45	4.482	LITHOS
0.45	3.582	NEURAL PLASTICITY
0.45	5.578	Scientific Reports
0.41	3.816	Transplantation Reviews
0.38	2.853	Marine Drugs
0.379	2.927	OCEAN MODELLING
0.37	7.776	ADVANCES IN COLLOID AND INTERFACE SCIENCE
0.35	3.111	DNA REPAIR
0.35	2.112	PeerJ
0.34	6.472	TRAC-TRENDS IN ANALYTICAL CHEMISTRY
0.33	1.216	NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT
0.313	4.435	JOURNAL OF CLIMATE
0.31	12.239	COORDINATION CHEMISTRY REVIEWS
0.31	3.234	PLoS One
0.3	3.261	Frontiers in Neuroinformatics
0.28	5.664	PRECAMBRIAN RESEARCH
0.271	4.673	CLIMATE DYNAMICS
0.25	2.938	Toxins
0.22	7.237	PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY
0.2	3.948	Frontiers in Plant Science
0.19248826291079812	3.626	Discovery Medicine
0.13333333333333333	3.544	Frontiers in Neuroanatomy
0.13	7.037	FRONTIERS IN NEUROENDOCRINOLOGY
0.11	4.084	Frontiers in Molecular Neuroscience
0.03125	3.802	Frontiers in Pharmacology
0.01	7.117	CURRENT OPINION IN BIOTECHNOLOGY
